Year,Month,State,County,Rate
2012,December,Arizona,Graham County,7.8
2012,December,Arizona,Pima County,6.7
2012,December,Arizona,Apache County,18.3
2012,December,Arizona,Coconino County,8.5
2012,December,Arizona,Cochise County,8.7
2012,December,Arizona,Santa Cruz County,15.0
2012,December,Arizona,Yavapai County,8.1
2012,July,Arizona,Pinal County,9.3
2012,July,Arizona,Greenlee County,8.6
2012,July,Arizona,La Paz County,8.4
2012,July,Arizona,Mohave County,11.5
2012,July,Arizona,Yuma County,27.4
2012,July,Arizona,Gila County,10.6
2012,July,Arizona,Maricopa County,7.9
2012,July,Arizona,Navajo County,15.1
2012,July,Arizona,Graham County,9.4
2012,July,Arizona,Pima County,8.1
2012,July,Arizona,Apache County,21.0
2012,July,Arizona,Coconino County,9.2
2012,July,Arizona,Cochise County,9.7
2012,July,Arizona,Santa Cruz County,17.6
2012,July,Arizona,Yavapai County,9.1
2012,November,Arizona,Pinal County,7.6
2012,November,Arizona,Greenlee County,7.0
2012,November,Arizona,La Paz County,7.6
2012,November,Arizona,Mohave County,10.0
2012,November,Arizona,Yuma County,23.3
2012,November,Arizona,Gila County,9.4
2012,November,Arizona,Maricopa County,6.5
2012,November,Arizona,Navajo County,13.0
2012,November,Arizona,Graham County,7.7
2012,November,Arizona,Pima County,6.6
2012,November,Arizona,Apache County,17.8
2012,November,Arizona,Coconino County,7.9
2012,November,Arizona,Cochise County,8.4
2012,November,Arizona,Santa Cruz County,15.3
2012,November,Arizona,Yavapai County,7.7
1991,February,Arizona,Pinal County,6.5
1991,February,Arizona,Greenlee County,5.8
1991,February,Arizona,La Paz County,7.6
1991,February,Arizona,Mohave County,6.7
1991,February,Arizona,Yuma County,14.0
1991,February,Arizona,Gila County,7.0
1991,February,Arizona,Maricopa County,4.3
1991,February,Arizona,Navajo County,12.0
1991,February,Arizona,Graham County,6.7
1991,February,Arizona,Pima County,3.8
1991,February,Arizona,Apache County,12.8
1991,February,Arizona,Coconino County,7.3
1991,February,Arizona,Cochise County,7.8
1991,February,Arizona,Santa Cruz County,10.2
1991,February,Arizona,Yavapai County,5.0
1991,October,Arizona,Pinal County,7.6
1991,October,Arizona,Greenlee County,7.1
1991,October,Arizona,La Paz County,10.4
1991,October,Arizona,Mohave County,7.3
1991,October,Arizona,Yuma County,22.6
1991,October,Arizona,Gila County,9.5
1991,October,Arizona,Maricopa County,6.0
1991,October,Arizona,Navajo County,11.2
1991,October,Arizona,Graham County,7.5
1991,October,Arizona,Pima County,5.0
1991,October,Arizona,Apache County,13.2
1991,October,Arizona,Coconino County,7.5
1991,October,Arizona,Cochise County,8.3
1991,October,Arizona,Santa Cruz County,20.7
1991,October,Arizona,Yavapai County,5.7
1991,March,Arizona,Pinal County,6.4
1991,March,Arizona,Greenlee County,6.0
1991,March,Arizona,La Paz County,7.5
1991,March,Arizona,Mohave County,5.7
1991,March,Arizona,Yuma County,14.6
1991,March,Arizona,Gila County,7.0
1991,March,Arizona,Maricopa County,4.3
1991,March,Arizona,Navajo County,11.2
1991,March,Arizona,Graham County,6.6
1991,March,Arizona,Pima County,3.8
1991,March,Arizona,Apache County,12.1
1991,March,Arizona,Coconino County,6.7
1991,March,Arizona,Cochise County,7.3
1991,March,Arizona,Santa Cruz County,9.6
1991,March,Arizona,Yavapai County,5.1
1991,August,Arizona,Pinal County,7.3
1991,August,Arizona,Greenlee County,7.1
1991,August,Arizona,La Paz County,10.5
1991,August,Arizona,Mohave County,6.8
1991,August,Arizona,Yuma County,29.9
1991,August,Arizona,Gila County,8.3
1991,August,Arizona,Maricopa County,5.6
1991,August,Arizona,Navajo County,12.9
1991,August,Arizona,Graham County,7.4
1991,August,Arizona,Pima County,4.7
1991,August,Arizona,Apache County,15.3
1991,August,Arizona,Coconino County,7.9
1991,August,Arizona,Cochise County,7.5
1991,August,Arizona,Santa Cruz County,18.9
1991,August,Arizona,Yavapai County,5.2
1991,May,Arizona,Pinal County,6.2
1991,May,Arizona,Greenlee County,5.0
1991,May,Arizona,La Paz County,7.0
1991,May,Arizona,Mohave County,5.9
1991,May,Arizona,Yuma County,24.5
1991,May,Arizona,Gila County,6.3
1991,May,Arizona,Maricopa County,4.5
1991,May,Arizona,Navajo County,9.5
1991,May,Arizona,Graham County,6.2
1991,May,Arizona,Pima County,3.7
1991,May,Arizona,Apache County,10.6
1991,May,Arizona,Coconino County,6.5
1991,May,Arizona,Cochise County,7.0
1991,May,Arizona,Santa Cruz County,9.4
1991,May,Arizona,Yavapai County,4.2
1991,January,Arizona,Pinal County,6.8
1991,January,Arizona,Greenlee County,7.4
1991,January,Arizona,La Paz County,7.4
1991,January,Arizona,Mohave County,7.3
1991,January,Arizona,Yuma County,14.4
1991,January,Arizona,Gila County,7.6
1991,January,Arizona,Maricopa County,4.5
1991,January,Arizona,Navajo County,12.8
1991,January,Arizona,Graham County,7.3
1991,January,Arizona,Pima County,4.1
1991,January,Arizona,Apache County,14.1
1991,January,Arizona,Coconino County,8.3
1991,January,Arizona,Cochise County,7.7
1991,January,Arizona,Santa Cruz County,11.4
1991,January,Arizona,Yavapai County,5.5
1991,June,Arizona,Pinal County,7.0
1991,June,Arizona,Greenlee County,7.2
1991,June,Arizona,La Paz County,8.2
1991,June,Arizona,Mohave County,6.4
1991,June,Arizona,Yuma County,25.1
1991,June,Arizona,Gila County,7.4
1991,June,Arizona,Maricopa County,5.3
1991,June,Arizona,Navajo County,13.2
1991,June,Arizona,Graham County,7.2
1991,June,Arizona,Pima County,4.3
1991,June,Arizona,Apache County,15.3
1991,June,Arizona,Coconino County,8.2
1991,June,Arizona,Cochise County,7.6
1991,June,Arizona,Santa Cruz County,13.3
1991,June,Arizona,Yavapai County,4.9
1991,September,Arizona,Pinal County,7.6
1991,September,Arizona,Greenlee County,7.4
1991,September,Arizona,La Paz County,9.3
1991,September,Arizona,Mohave County,6.6
1991,September,Arizona,Yuma County,26.5
1991,September,Arizona,Gila County,8.0
1991,September,Arizona,Maricopa County,5.9
1991,September,Arizona,Navajo County,11.1
1991,September,Arizona,Graham County,7.3
1991,September,Arizona,Pima County,4.8
1991,September,Arizona,Apache County,12.9
1991,September,Arizona,Coconino County,7.1
1991,September,Arizona,Cochise County,7.5
1991,September,Arizona,Santa Cruz County,19.8
1991,September,Arizona,Yavapai County,5.5
1991,April,Arizona,Pinal County,5.8
1991,April,Arizona,Greenlee County,4.8
1991,April,Arizona,La Paz County,6.1
1991,April,Arizona,Mohave County,4.6
1991,April,Arizona,Yuma County,16.2
1991,April,Arizona,Gila County,6.5
1991,April,Arizona,Maricopa County,4.1
1991,April,Arizona,Navajo County,10.1
1991,April,Arizona,Graham County,5.7
1991,April,Arizona,Pima County,3.5
1991,April,Arizona,Apache County,10.6
1991,April,Arizona,Coconino County,5.7
1991,April,Arizona,Cochise County,6.5
1991,April,Arizona,Santa Cruz County,8.6
1991,April,Arizona,Yavapai County,4.3
1991,December,Arizona,Pinal County,8.0
1991,December,Arizona,Greenlee County,7.3
1991,December,Arizona,La Paz County,12.4
1991,December,Arizona,Mohave County,9.5
1991,December,Arizona,Yuma County,18.4
1991,December,Arizona,Gila County,10.6
1991,December,Arizona,Maricopa County,6.1
1991,December,Arizona,Navajo County,13.0
1991,December,Arizona,Graham County,8.3
1991,December,Arizona,Pima County,5.0
1991,December,Arizona,Apache County,14.6
1991,December,Arizona,Coconino County,9.2
1991,December,Arizona,Cochise County,8.6
1991,December,Arizona,Santa Cruz County,14.8
1991,December,Arizona,Yavapai County,7.0
1991,July,Arizona,Pinal County,6.9
1991,July,Arizona,Greenlee County,5.8
1991,July,Arizona,La Paz County,8.6
1991,July,Arizona,Mohave County,5.9
1991,July,Arizona,Yuma County,25.5
1991,July,Arizona,Gila County,7.3
1991,July,Arizona,Maricopa County,5.2
1991,July,Arizona,Navajo County,14.3
1991,July,Arizona,Graham County,7.1
1991,July,Arizona,Pima County,4.4
1991,July,Arizona,Apache County,17.5
1991,July,Arizona,Coconino County,8.1
1991,July,Arizona,Cochise County,7.5
1991,July,Arizona,Santa Cruz County,15.2
1991,July,Arizona,Yavapai County,4.9
1991,November,Arizona,Pinal County,7.2
1991,November,Arizona,Greenlee County,6.7
1991,November,Arizona,La Paz County,11.3
1991,November,Arizona,Mohave County,7.7
1991,November,Arizona,Yuma County,19.2
1991,November,Arizona,Gila County,9.7
1991,November,Arizona,Maricopa County,5.8
1991,November,Arizona,Navajo County,10.9
1991,November,Arizona,Graham County,8.1
1991,November,Arizona,Pima County,5.2
1991,November,Arizona,Apache County,12.6
1991,November,Arizona,Coconino County,7.8
1991,November,Arizona,Cochise County,8.0
1991,November,Arizona,Santa Cruz County,15.6
1991,November,Arizona,Yavapai County,6.1
1990,February,Arizona,Pinal County,6.8
1990,February,Arizona,Greenlee County,8.6
1990,February,Arizona,La Paz County,6.8
1990,February,Arizona,Mohave County,5.1
1990,February,Arizona,Yuma County,15.5
1990,February,Arizona,Gila County,8.8
1990,February,Arizona,Maricopa County,4.4
1990,February,Arizona,Navajo County,12.2
1990,February,Arizona,Graham County,8.4
1990,February,Arizona,Pima County,4.7
1990,February,Arizona,Apache County,13.5
1990,February,Arizona,Coconino County,8.7
1990,February,Arizona,Cochise County,6.9
1990,February,Arizona,Santa Cruz County,9.3
1990,February,Arizona,Yavapai County,5.3
1990,October,Arizona,Pinal County,5.3
1990,October,Arizona,Greenlee County,6.5
1990,October,Arizona,La Paz County,6.5
1990,October,Arizona,Mohave County,4.9
1990,October,Arizona,Yuma County,20.2
1990,October,Arizona,Gila County,6.3
1990,October,Arizona,Maricopa County,4.2
1990,October,Arizona,Navajo County,9.4
1990,October,Arizona,Graham County,6.1
1990,October,Arizona,Pima County,4.4
1990,October,Arizona,Apache County,11.3
1990,October,Arizona,Coconino County,6.3
1990,October,Arizona,Cochise County,6.5
1990,October,Arizona,Santa Cruz County,17.6
1990,October,Arizona,Yavapai County,4.2
1990,March,Arizona,Pinal County,6.5
1990,March,Arizona,Greenlee County,7.4
1990,March,Arizona,La Paz County,6.7
1990,March,Arizona,Mohave County,5.4
1990,March,Arizona,Yuma County,14.8
1990,March,Arizona,Gila County,8.7
1990,March,Arizona,Maricopa County,4.2
1990,March,Arizona,Navajo County,11.7
1990,March,Arizona,Graham County,7.8
1990,March,Arizona,Pima County,4.4
1990,March,Arizona,Apache County,13.0
1990,March,Arizona,Coconino County,7.8
1990,March,Arizona,Cochise County,6.7
1990,March,Arizona,Santa Cruz County,8.6
1990,March,Arizona,Yavapai County,4.7
1990,August,Arizona,Pinal County,6.4
1990,August,Arizona,Greenlee County,6.0
1990,August,Arizona,La Paz County,8.0
1990,August,Arizona,Mohave County,4.6
1990,August,Arizona,Yuma County,29.4
1990,August,Arizona,Gila County,7.1
1990,August,Arizona,Maricopa County,4.6
1990,August,Arizona,Navajo County,11.8
1990,August,Arizona,Graham County,6.8
1990,August,Arizona,Pima County,4.8
1990,August,Arizona,Apache County,16.1
1990,August,Arizona,Coconino County,7.9
1990,August,Arizona,Cochise County,6.0
1990,August,Arizona,Santa Cruz County,19.2
1990,August,Arizona,Yavapai County,4.4
1990,May,Arizona,Pinal County,6.4
1990,May,Arizona,Greenlee County,5.3
1990,May,Arizona,La Paz County,5.4
1990,May,Arizona,Mohave County,3.9
1990,May,Arizona,Yuma County,24.0
1990,May,Arizona,Gila County,6.7
1990,May,Arizona,Maricopa County,4.1
1990,May,Arizona,Navajo County,8.3
1990,May,Arizona,Graham County,6.5
1990,May,Arizona,Pima County,4.3
1990,May,Arizona,Apache County,10.5
1990,May,Arizona,Coconino County,6.4
1990,May,Arizona,Cochise County,6.0
1990,May,Arizona,Santa Cruz County,10.4
1990,May,Arizona,Yavapai County,4.0
1990,January,Arizona,Pinal County,7.3
1990,January,Arizona,Greenlee County,9.8
1990,January,Arizona,La Paz County,7.2
1990,January,Arizona,Mohave County,5.6
1990,January,Arizona,Yuma County,13.9
1990,January,Arizona,Gila County,9.3
1990,January,Arizona,Maricopa County,4.7
1990,January,Arizona,Navajo County,11.4
1990,January,Arizona,Graham County,8.8
1990,January,Arizona,Pima County,5.2
1990,January,Arizona,Apache County,13.2
1990,January,Arizona,Coconino County,9.4
1990,January,Arizona,Cochise County,7.0
1990,January,Arizona,Santa Cruz County,9.8
1990,January,Arizona,Yavapai County,5.5
1990,June,Arizona,Pinal County,6.5
1990,June,Arizona,Greenlee County,6.3
1990,June,Arizona,La Paz County,7.2
1990,June,Arizona,Mohave County,4.3
1990,June,Arizona,Yuma County,23.0
1990,June,Arizona,Gila County,7.2
1990,June,Arizona,Maricopa County,4.4
1990,June,Arizona,Navajo County,11.7
1990,June,Arizona,Graham County,7.3
1990,June,Arizona,Pima County,4.9
1990,June,Arizona,Apache County,16.6
1990,June,Arizona,Coconino County,8.8
1990,June,Arizona,Cochise County,6.4
1990,June,Arizona,Santa Cruz County,15.0
1990,June,Arizona,Yavapai County,4.2
1990,September,Arizona,Pinal County,6.2
1990,September,Arizona,Greenlee County,6.3
1990,September,Arizona,La Paz County,7.4
1990,September,Arizona,Mohave County,4.6
1990,September,Arizona,Yuma County,24.9
1990,September,Arizona,Gila County,6.4
1990,September,Arizona,Maricopa County,4.5
1990,September,Arizona,Navajo County,10.4
1990,September,Arizona,Graham County,7.5
1990,September,Arizona,Pima County,4.7
1990,September,Arizona,Apache County,13.0
1990,September,Arizona,Coconino County,6.7
1990,September,Arizona,Cochise County,6.0
1990,September,Arizona,Santa Cruz County,19.3
1990,September,Arizona,Yavapai County,4.6
1990,April,Arizona,Pinal County,6.1
1990,April,Arizona,Greenlee County,6.2
1990,April,Arizona,La Paz County,5.9
1990,April,Arizona,Mohave County,5.0
1990,April,Arizona,Yuma County,19.8
1990,April,Arizona,Gila County,8.0
1990,April,Arizona,Maricopa County,4.2
1990,April,Arizona,Navajo County,10.2
1990,April,Arizona,Graham County,6.6
1990,April,Arizona,Pima County,4.4
1990,April,Arizona,Apache County,11.7
1990,April,Arizona,Coconino County,6.4
1990,April,Arizona,Cochise County,6.3
1990,April,Arizona,Santa Cruz County,9.2
1990,April,Arizona,Yavapai County,4.3
1990,December,Arizona,Pinal County,5.5
1990,December,Arizona,Greenlee County,5.3
1990,December,Arizona,La Paz County,6.5
1990,December,Arizona,Mohave County,5.1
1990,December,Arizona,Yuma County,14.8
1990,December,Arizona,Gila County,6.6
1990,December,Arizona,Maricopa County,4.0
1990,December,Arizona,Navajo County,10.2
1990,December,Arizona,Graham County,5.8
1990,December,Arizona,Pima County,4.0
1990,December,Arizona,Apache County,10.7
1990,December,Arizona,Coconino County,7.2
1990,December,Arizona,Cochise County,6.8
1990,December,Arizona,Santa Cruz County,12.2
1990,December,Arizona,Yavapai County,4.6
1990,July,Arizona,Pinal County,6.6
1990,July,Arizona,Greenlee County,5.4
1990,July,Arizona,La Paz County,7.3
1990,July,Arizona,Mohave County,4.5
1990,July,Arizona,Yuma County,27.6
1990,July,Arizona,Gila County,7.1
1990,July,Arizona,Maricopa County,4.4
1990,July,Arizona,Navajo County,12.9
1990,July,Arizona,Graham County,7.0
1990,July,Arizona,Pima County,4.7
1990,July,Arizona,Apache County,17.0
1990,July,Arizona,Coconino County,8.2
1990,July,Arizona,Cochise County,6.4
1990,July,Arizona,Santa Cruz County,17.4
1990,July,Arizona,Yavapai County,4.5
1990,November,Arizona,Pinal County,5.2
1990,November,Arizona,Greenlee County,6.2
1990,November,Arizona,La Paz County,6.6
1990,November,Arizona,Mohave County,5.4
1990,November,Arizona,Yuma County,17.4
1990,November,Arizona,Gila County,6.6
1990,November,Arizona,Maricopa County,3.9
1990,November,Arizona,Navajo County,9.8
1990,November,Arizona,Graham County,5.8
1990,November,Arizona,Pima County,4.3
1990,November,Arizona,Apache County,11.3
1990,November,Arizona,Coconino County,6.5
1990,November,Arizona,Cochise County,6.5
1990,November,Arizona,Santa Cruz County,14.3
1990,November,Arizona,Yavapai County,4.2
1993,February,Arizona,Pinal County,7.9
1993,February,Arizona,Greenlee County,12.2
1993,February,Arizona,La Paz County,18.8
1993,February,Arizona,Mohave County,10.2
1993,February,Arizona,Yuma County,21.0
1993,February,Arizona,Gila County,11.8
1993,February,Arizona,Maricopa County,5.7
1993,February,Arizona,Navajo County,17.7
1993,February,Arizona,Graham County,12.7
1993,February,Arizona,Pima County,4.6
1993,February,Arizona,Apache County,18.4
1993,February,Arizona,Coconino County,10.3
1993,February,Arizona,Cochise County,10.7
1993,February,Arizona,Santa Cruz County,14.4
1993,February,Arizona,Yavapai County,6.7
1993,October,Arizona,Pinal County,5.7
1993,October,Arizona,Greenlee County,10.4
1993,October,Arizona,La Paz County,15.5
1993,October,Arizona,Mohave County,9.9
1993,October,Arizona,Yuma County,28.1
1993,October,Arizona,Gila County,8.5
1993,October,Arizona,Maricopa County,4.8
1993,October,Arizona,Navajo County,11.6
1993,October,Arizona,Graham County,9.7
1993,October,Arizona,Pima County,4.0
1993,October,Arizona,Apache County,16.0
1993,October,Arizona,Coconino County,7.9
1993,October,Arizona,Cochise County,8.9
1993,October,Arizona,Santa Cruz County,21.5
1993,October,Arizona,Yavapai County,4.9
1993,March,Arizona,Pinal County,7.0
1993,March,Arizona,Greenlee County,11.5
1993,March,Arizona,La Paz County,16.3
1993,March,Arizona,Mohave County,10.2
1993,March,Arizona,Yuma County,22.3
1993,March,Arizona,Gila County,11.1
1993,March,Arizona,Maricopa County,5.3
1993,March,Arizona,Navajo County,16.6
1993,March,Arizona,Graham County,11.7
1993,March,Arizona,Pima County,4.3
1993,March,Arizona,Apache County,16.4
1993,March,Arizona,Coconino County,9.2
1993,March,Arizona,Cochise County,10.5
1993,March,Arizona,Santa Cruz County,13.5
1993,March,Arizona,Yavapai County,6.2
1993,August,Arizona,Pinal County,6.7
1993,August,Arizona,Greenlee County,11.2
1993,August,Arizona,La Paz County,15.6
1993,August,Arizona,Mohave County,9.0
1993,August,Arizona,Yuma County,34.9
1993,August,Arizona,Gila County,8.7
1993,August,Arizona,Maricopa County,5.0
1993,August,Arizona,Navajo County,12.5
1993,August,Arizona,Graham County,8.5
1993,August,Arizona,Pima County,4.2
1993,August,Arizona,Apache County,18.9
1993,August,Arizona,Coconino County,8.3
1993,August,Arizona,Cochise County,9.0
1993,August,Arizona,Santa Cruz County,20.7
1993,August,Arizona,Yavapai County,5.0
1993,May,Arizona,Pinal County,5.9
1993,May,Arizona,Greenlee County,10.3
1993,May,Arizona,La Paz County,12.9
1993,May,Arizona,Mohave County,8.9
1993,May,Arizona,Yuma County,31.5
1993,May,Arizona,Gila County,8.9
1993,May,Arizona,Maricopa County,4.8
1993,May,Arizona,Navajo County,11.9
1993,May,Arizona,Graham County,9.2
1993,May,Arizona,Pima County,3.8
1993,May,Arizona,Apache County,14.9
1993,May,Arizona,Coconino County,8.1
1993,May,Arizona,Cochise County,9.1
1993,May,Arizona,Santa Cruz County,12.8
1993,May,Arizona,Yavapai County,5.0
1993,January,Arizona,Pinal County,9.1
1993,January,Arizona,Greenlee County,12.5
1993,January,Arizona,La Paz County,21.0
1993,January,Arizona,Mohave County,11.4
1993,January,Arizona,Yuma County,22.4
1993,January,Arizona,Gila County,11.6
1993,January,Arizona,Maricopa County,6.1
1993,January,Arizona,Navajo County,18.8
1993,January,Arizona,Graham County,13.3
1993,January,Arizona,Pima County,5.0
1993,January,Arizona,Apache County,20.2
1993,January,Arizona,Coconino County,12.0
1993,January,Arizona,Cochise County,11.3
1993,January,Arizona,Santa Cruz County,15.6
1993,January,Arizona,Yavapai County,7.4
1993,June,Arizona,Pinal County,6.8
1993,June,Arizona,Greenlee County,11.6
1993,June,Arizona,La Paz County,13.9
1993,June,Arizona,Mohave County,9.2
1993,June,Arizona,Yuma County,32.9
1993,June,Arizona,Gila County,9.0
1993,June,Arizona,Maricopa County,5.2
1993,June,Arizona,Navajo County,15.8
1993,June,Arizona,Graham County,10.1
1993,June,Arizona,Pima County,4.1
1993,June,Arizona,Apache County,20.2
1993,June,Arizona,Coconino County,9.7
1993,June,Arizona,Cochise County,9.7
1993,June,Arizona,Santa Cruz County,17.6
1993,June,Arizona,Yavapai County,5.4
1993,September,Arizona,Pinal County,6.6
1993,September,Arizona,Greenlee County,10.9
1993,September,Arizona,La Paz County,16.1
1993,September,Arizona,Mohave County,9.5
1993,September,Arizona,Yuma County,31.6
1993,September,Arizona,Gila County,8.4
1993,September,Arizona,Maricopa County,4.9
1993,September,Arizona,Navajo County,11.5
1993,September,Arizona,Graham County,8.6
1993,September,Arizona,Pima County,4.0
1993,September,Arizona,Apache County,15.9
1993,September,Arizona,Coconino County,7.8
1993,September,Arizona,Cochise County,8.8
1993,September,Arizona,Santa Cruz County,21.0
1993,September,Arizona,Yavapai County,4.9
1993,April,Arizona,Pinal County,6.3
1993,April,Arizona,Greenlee County,10.5
1993,April,Arizona,La Paz County,13.5
1993,April,Arizona,Mohave County,9.6
1993,April,Arizona,Yuma County,29.2
1993,April,Arizona,Gila County,10.2
1993,April,Arizona,Maricopa County,5.0
1993,April,Arizona,Navajo County,13.8
1993,April,Arizona,Graham County,10.2
1993,April,Arizona,Pima County,3.9
1993,April,Arizona,Apache County,16.2
1993,April,Arizona,Coconino County,7.8
1993,April,Arizona,Cochise County,10.0
1993,April,Arizona,Santa Cruz County,13.0
1993,April,Arizona,Yavapai County,5.4
1993,December,Arizona,Pinal County,5.4
1993,December,Arizona,Greenlee County,9.2
1993,December,Arizona,La Paz County,16.2
1993,December,Arizona,Mohave County,8.2
1993,December,Arizona,Yuma County,21.7
1993,December,Arizona,Gila County,9.1
1993,December,Arizona,Maricopa County,4.5
1993,December,Arizona,Navajo County,11.6
1993,December,Arizona,Graham County,8.6
1993,December,Arizona,Pima County,3.7
1993,December,Arizona,Apache County,16.1
1993,December,Arizona,Coconino County,8.9
1993,December,Arizona,Cochise County,10.0
1993,December,Arizona,Santa Cruz County,16.7
1993,December,Arizona,Yavapai County,5.1
1993,July,Arizona,Pinal County,6.4
1993,July,Arizona,Greenlee County,10.6
1993,July,Arizona,La Paz County,14.6
1993,July,Arizona,Mohave County,9.2
1993,July,Arizona,Yuma County,34.6
1993,July,Arizona,Gila County,8.8
1993,July,Arizona,Maricopa County,5.0
1993,July,Arizona,Navajo County,13.7
1993,July,Arizona,Graham County,9.2
1993,July,Arizona,Pima County,4.1
1993,July,Arizona,Apache County,20.1
1993,July,Arizona,Coconino County,8.7
1993,July,Arizona,Cochise County,9.3
1993,July,Arizona,Santa Cruz County,19.6
1993,July,Arizona,Yavapai County,5.2
1993,November,Arizona,Pinal County,5.3
1993,November,Arizona,Greenlee County,9.7
1993,November,Arizona,La Paz County,15.0
1993,November,Arizona,Mohave County,9.8
1993,November,Arizona,Yuma County,24.8
1993,November,Arizona,Gila County,8.2
1993,November,Arizona,Maricopa County,4.6
1993,November,Arizona,Navajo County,10.6
1993,November,Arizona,Graham County,8.7
1993,November,Arizona,Pima County,3.7
1993,November,Arizona,Apache County,15.2
1993,November,Arizona,Coconino County,7.9
1993,November,Arizona,Cochise County,9.0
1993,November,Arizona,Santa Cruz County,19.0
1993,November,Arizona,Yavapai County,5.0
1992,February,Arizona,Pinal County,9.8
1992,February,Arizona,Greenlee County,8.1
1992,February,Arizona,La Paz County,15.8
1992,February,Arizona,Mohave County,11.3
1992,February,Arizona,Yuma County,17.1
1992,February,Arizona,Gila County,12.2
1992,February,Arizona,Maricopa County,6.9
1992,February,Arizona,Navajo County,18.4
1992,February,Arizona,Graham County,9.2
1992,February,Arizona,Pima County,5.6
1992,February,Arizona,Apache County,17.9
1992,February,Arizona,Coconino County,10.5
1992,February,Arizona,Cochise County,10.7
1992,February,Arizona,Santa Cruz County,14.4
1992,February,Arizona,Yavapai County,8.7
1992,October,Arizona,Pinal County,7.4
1992,October,Arizona,Greenlee County,11.0
1992,October,Arizona,La Paz County,13.3
1992,October,Arizona,Mohave County,8.2
1992,October,Arizona,Yuma County,24.9
1992,October,Arizona,Gila County,10.5
1992,October,Arizona,Maricopa County,6.1
1992,October,Arizona,Navajo County,12.7
1992,October,Arizona,Graham County,10.4
1992,October,Arizona,Pima County,5.6
1992,October,Arizona,Apache County,13.6
1992,October,Arizona,Coconino County,8.0
1992,October,Arizona,Cochise County,9.1
1992,October,Arizona,Santa Cruz County,19.5
1992,October,Arizona,Yavapai County,6.7
1992,March,Arizona,Pinal County,9.3
1992,March,Arizona,Greenlee County,8.8
1992,March,Arizona,La Paz County,14.1
1992,March,Arizona,Mohave County,11.1
1992,March,Arizona,Yuma County,20.5
1992,March,Arizona,Gila County,11.7
1992,March,Arizona,Maricopa County,6.7
1992,March,Arizona,Navajo County,17.2
1992,March,Arizona,Graham County,9.5
1992,March,Arizona,Pima County,5.5
1992,March,Arizona,Apache County,16.2
1992,March,Arizona,Coconino County,9.8
1992,March,Arizona,Cochise County,9.8
1992,March,Arizona,Santa Cruz County,14.5
1992,March,Arizona,Yavapai County,8.3
1992,August,Arizona,Pinal County,8.9
1992,August,Arizona,Greenlee County,10.2
1992,August,Arizona,La Paz County,13.8
1992,August,Arizona,Mohave County,8.2
1992,August,Arizona,Yuma County,33.8
1992,August,Arizona,Gila County,10.6
1992,August,Arizona,Maricopa County,6.5
1992,August,Arizona,Navajo County,15.6
1992,August,Arizona,Graham County,10.4
1992,August,Arizona,Pima County,5.5
1992,August,Arizona,Apache County,17.8
1992,August,Arizona,Coconino County,9.3
1992,August,Arizona,Cochise County,8.8
1992,August,Arizona,Santa Cruz County,22.4
1992,August,Arizona,Yavapai County,6.5
1992,May,Arizona,Pinal County,8.6
1992,May,Arizona,Greenlee County,10.3
1992,May,Arizona,La Paz County,11.8
1992,May,Arizona,Mohave County,9.2
1992,May,Arizona,Yuma County,31.6
1992,May,Arizona,Gila County,10.3
1992,May,Arizona,Maricopa County,6.3
1992,May,Arizona,Navajo County,12.4
1992,May,Arizona,Graham County,9.4
1992,May,Arizona,Pima County,5.2
1992,May,Arizona,Apache County,13.6
1992,May,Arizona,Coconino County,8.7
1992,May,Arizona,Cochise County,8.9
1992,May,Arizona,Santa Cruz County,14.4
1992,May,Arizona,Yavapai County,6.7
1992,January,Arizona,Pinal County,9.6
1992,January,Arizona,Greenlee County,8.6
1992,January,Arizona,La Paz County,14.7
1992,January,Arizona,Mohave County,11.3
1992,January,Arizona,Yuma County,17.3
1992,January,Arizona,Gila County,12.0
1992,January,Arizona,Maricopa County,7.1
1992,January,Arizona,Navajo County,17.8
1992,January,Arizona,Graham County,9.4
1992,January,Arizona,Pima County,5.6
1992,January,Arizona,Apache County,18.4
1992,January,Arizona,Coconino County,11.0
1992,January,Arizona,Cochise County,10.8
1992,January,Arizona,Santa Cruz County,14.2
1992,January,Arizona,Yavapai County,8.9
1992,June,Arizona,Pinal County,9.7
1992,June,Arizona,Greenlee County,11.8
1992,June,Arizona,La Paz County,12.7
1992,June,Arizona,Mohave County,9.5
1992,June,Arizona,Yuma County,32.5
1992,June,Arizona,Gila County,11.8
1992,June,Arizona,Maricopa County,6.6
1992,June,Arizona,Navajo County,16.9
1992,June,Arizona,Graham County,10.8
1992,June,Arizona,Pima County,5.8
1992,June,Arizona,Apache County,20.2
1992,June,Arizona,Coconino County,9.9
1992,June,Arizona,Cochise County,9.6
1992,June,Arizona,Santa Cruz County,18.4
1992,June,Arizona,Yavapai County,6.8
1992,September,Arizona,Pinal County,8.1
1992,September,Arizona,Greenlee County,10.6
1992,September,Arizona,La Paz County,13.5
1992,September,Arizona,Mohave County,8.6
1992,September,Arizona,Yuma County,30.7
1992,September,Arizona,Gila County,10.4
1992,September,Arizona,Maricopa County,6.6
1992,September,Arizona,Navajo County,13.4
1992,September,Arizona,Graham County,11.0
1992,September,Arizona,Pima County,5.6
1992,September,Arizona,Apache County,13.8
1992,September,Arizona,Coconino County,8.2
